
EV	DT	TS	P	Type	E1	D3	X1	Y1	Z1	X3	Y3	Z3	PX	PY	PZ	time	origevt	
1	2001	100001	0	22	7.41595	0	-31.20668425	84.55935889	-24.92043933	-33.7094883	84.6960945	-36.92790813	-0.2040390943	0.01114726067	-0.978899273	0.04091596117	-1	
2	2000	100001	0	22	7.41595	3.819e-05	30.67790186	142.0794249	13.69329086	31.66075667	128.235159	21.06116412	0.06254828518	-0.8810406923	0.4688869912	0.0524147188	-1	
2	2000	100002	0	22	2.155511978	0	31.66075667	128.235159	21.06116412	31.32296419	127.6146523	21.98661073	-0.2901261049	-0.5329461047	0.7948555169	0.05629839014	-1	
2	2000	300001	100000	11	0.78324124	0.1941337084	31.32296419	127.6146523	21.98661073	31.2382781	127.5596245	22.11323225	-0.5228651197	-0.3397505957	0.7817810431	0.05688642519	-1	
2	2000	300002	100000	11	0.5891075316	0.2087740609	31.2382781	127.5596245	22.11323225	31.23073615	127.5268999	22.00558434	-0.06688227298	-0.2902023116	-0.9546252563	0.05731117565	-1	
2	2000	300003	100000	11	0.3803334707	0.1757544211	31.23073615	127.5268999	22.00558434	31.27770037	127.5611283	22.02606687	0.76218605	0.5554946173	0.3324126281	0.05756203767	-1	
2	2000	300004	100000	11	0.2045790496	0.155372331	31.27770037	127.5611283	22.02606687	31.27120654	127.5619442	22.00349567	-0.276322052	0.03471879801	-0.9604377797	0.05767402284	-1	
2	2000	300005	100000	11	0.04920671865	0.04920671865	31.27120654	127.5619442	22.00349567	31.27222298	127.5637496	22.00277346	0.4632537665	0.8228315632	-0.3291567507	0.05769188135	-1	
2	2000	200001	100000	11	5.260399832	0.1324449919	31.66075667	128.235159	21.06116412	31.70607091	128.0086459	21.13464529	0.1869347246	-0.9344338334	0.3031316871	0.05322648912	-1	
2	2000	200002	100000	11	5.00005754	1.411583174	31.70607091	128.0086459	21.13464529	31.19400829	126.7957689	21.33598776	-0.3844754321	-0.9106726437	0.1511753228	0.05768828779	-1	
2	2000	200003	100000	11	3.588474366	0.2915277806	31.19400829	126.7957689	21.33598776	30.94262628	126.4095895	21.47394651	-0.5226247521	-0.8028694249	0.2868171108	0.05930534405	-1	
2	2000	200004	100000	11	3.274101202	1.222097948	30.94262628	126.4095895	21.47394651	30.34857181	125.8329126	21.60032705	-0.7093072608	-0.688558274	0.1508996791	0.06212481373	-1	
